Bee #,Plant #,Collection #,Season
332,102,55,1
332,102,55,1
358,148,55,1
364,65,55,1
364,83,55,1
364,148,55,1
375,36,55,1
378,36,55,1
378,36,55,1
378,36,55,1
378,56,55,1
378,100,55,1
378,168,55,1
184,65,56,1
185,102,56,1
185,168,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,102,56,1
216,168,56,1
216,168,56,1
216,175,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
217,102,56,1
223,102,56,1
229,102,56,1
229,102,56,1
239,102,56,1
239,102,56,1
248,102,56,1
249,102,56,1
249,102,56,1
250,102,56,1
289,175,56,1
295,102,56,1
298,102,56,1
298,168,56,1
326,168,56,1
326,168,56,1
326,168,56,1
350,102,56,1
350,102,56,1
362,56,56,1
364,127,56,1
364,127,56,1
364,175,56,1
376,127,56,1
185,87,57,1
199,154,57,1
214,65,57,1
216,65,57,1
216,66,57,1
216,66,57,1
216,66,57,1
216,66,57,1
216,66,57,1
216,66,57,1
216,102,57,1
217,66,57,1
217,66,57,1
217,66,57,1
217,66,57,1
217,66,57,1
217,66,57,1
217,87,57,1
217,87,57,1
217,102,57,1
217,102,57,1
217,102,57,1
217,102,57,1
217,102,57,1
217,102,57,1
217,102,57,1
217,102,57,1
217,102,57,1
217,102,57,1
217,102,57,1
217,102,57,1
217,102,57,1
224,102,57,1
223,66,57,1
223,66,57,1
229,102,57,1
237,102,57,1
237,102,57,1
237,102,57,1
238,102,57,1
239,102,57,1
239,102,57,1
248,146,57,1
250,146,57,1
250,146,57,1
291,65,57,1
295,102,57,1
296,102,57,1
296,102,57,1
296,102,57,1
296,102,57,1
296,154,57,1
350,66,57,1
350,127,57,1
350,127,57,1
351,65,57,1
351,66,57,1
378,36,57,1
378,47,57,1
378,47,57,1
378,100,57,1
378,154,57,1
381,65,57,1
385,102,57,1
386,65,57,1
386,66,57,1
216,5,58,1
216,102,58,1
217,102,58,1
217,102,58,1
217,102,58,1
217,102,58,1
223,102,58,1
