System	Season	Month	Day	Year	Bee	Plant
BBG	wet	2	6	1996	216	59
BBG	wet	2	6	1996	216	59
BBG	wet	2	6	1996	258	113
BBG	wet	2	6	1996	291	124
BBG	wet	2	6	1996	378	59
BBG	wet	2	6	1996	378	59
BBG	wet	2	6	1996	378	106
BBG	wet	2	6	1996	380	49
BBG	wet	2	13	1996	221	130
BBG	wet	2	13	1996	288	130
BBG	wet	2	28	1996	185	86
BBG	wet	2	28	1996	185	86
BBG	wet	2	28	1996	203	59
BBG	wet	2	28	1996	212	40
BBG	wet	2	28	1996	214	43
BBG	wet	2	28	1996	214	61
BBG	wet	2	28	1996	214	62
BBG	wet	2	28	1996	228	13
BBG	wet	2	28	1996	262	86
BBG	wet	2	28	1996	312	169
BBG	wet	2	28	1996	313	59
BBG	wet	2	28	1996	338	86
BBG	wet	2	28	1996	339	106
BBG	wet	2	28	1996	361	86
BBG	wet	2	28	1996	371	86
BBG	wet	2	28	1996	378	43
BBG	wet	2	28	1996	386	106
BBG	wet	3	6	1996	271	150
BBG	wet	3	19	1996	187	85
BBG	wet	3	19	1996	190	43
BBG	wet	3	19	1996	203	43
BBG	wet	3	19	1996	203	172
BBG	wet	3	19	1996	214	43
BBG	wet	3	19	1996	214	43
BBG	wet	3	19	1996	214	43
BBG	wet	3	19	1996	223	172
BBG	wet	3	19	1996	245	172
BBG	wet	3	19	1996	268	172
BBG	wet	3	19	1996	289	172
BBG	wet	3	19	1996	290	172
BBG	wet	3	19	1996	291	59
BBG	wet	3	19	1996	295	43
BBG	wet	3	19	1996	295	172
BBG	wet	3	19	1996	296	172
BBG	wet	3	19	1996	308	172
BBG	wet	3	19	1996	312	172
BBG	wet	3	19	1996	317	43
BBG	wet	3	19	1996	320	172
BBG	wet	3	19	1996	322	59
BBG	wet	3	19	1996	322	172
BBG	wet	3	19	1996	322	172
BBG	wet	3	19	1996	333	172
BBG	wet	3	19	1996	341	2
BBG	wet	3	19	1996	350	43
BBG	wet	3	19	1996	350	43
BBG	wet	3	19	1996	350	43
BBG	wet	3	19	1996	378	43
BBG	wet	3	19	1996	378	43
BBG	wet	3	19	1996	378	43
BBG	wet	3	26	1996	221	162
BBG	wet	3	26	1996	225	150
BBG	wet	3	26	1996	279	150
BBG	wet	3	26	1996	279	150
BBG	wet	3	26	1996	283	148
BBG	wet	3	26	1996	287	162
BBG	wet	3	26	1996	348	21
BBG	wet	3	26	1996	364	81
BBG	dry	4	3	1996	203	172
BBG	dry	4	3	1996	211	59
BBG	dry	4	3	1996	216	16
BBG	dry	4	3	1996	225	16
BBG	dry	4	3	1996	231	16
BBG	dry	4	3	1996	233	16
BBG	dry	4	3	1996	247	148
BBG	dry	4	3	1996	247	172
BBG	dry	4	3	1996	247	172
BBG	dry	4	3	1996	247	172
BBG	dry	4	3	1996	248	172
BBG	dry	4	3	1996	291	172
BBG	dry	4	3	1996	322	172
BBG	dry	4	3	1996	333	172
BBG	dry	4	3	1996	350	43
BBG	dry	4	3	1996	350	172
BBG	dry	4	3	1996	350	172
BBG	dry	4	3	1996	350	172
BBG	dry	4	3	1996	350	172
BBG	dry	4	3	1996	350	172
BBG	dry	4	3	1996	378	43
BBG	dry	4	3	1996	378	43
BBG	dry	4	3	1996	378	43
BBG	dry	4	3	1996	378	43
BBG	dry	4	3	1996	378	43
BBG	dry	4	9	1996	194	162
BBG	dry	4	9	1996	222	18
BBG	dry	4	9	1996	244	18
BBG	dry	4	9	1996	272	150
BBG	dry	4	9	1996	273	150
BBG	dry	4	9	1996	279	150
BBG	dry	4	9	1996	279	150
BBG	dry	4	9	1996	279	150
BBG	dry	4	9	1996	312	175
BBG	dry	4	9	1996	317	175
BBG	dry	4	9	1996	317	175
BBG	dry	4	9	1996	327	83
BBG	dry	4	9	1996	333	16
BBG	dry	4	9	1996	341	150
BBG	dry	4	9	1996	341	162
BBG	dry	4	9	1996	341	162
BBG	dry	4	9	1996	350	175
BBG	dry	4	9	1996	355	162
BBG	dry	4	9	1996	382	162
BBG	dry	4	9	1996	387	162
BBG	dry	4	9	1996	387	162
BBG	dry	4	16	1996	214	87
BBG	dry	4	16	1996	214	172
BBG	dry	4	16	1996	214	172
BBG	dry	4	16	1996	284	59
BBG	dry	4	16	1996	290	168
BBG	dry	4	16	1996	291	167
BBG	dry	4	16	1996	319	87
BBG	dry	4	16	1996	321	87
BBG	dry	4	16	1996	350	24
BBG	dry	4	16	1996	350	172
BBG	dry	4	16	1996	350	175
BBG	dry	4	16	1996	350	175
BBG	dry	4	16	1996	367	128
BBG	dry	4	16	1996	378	167
BBG	dry	4	16	1996	378	167
BBG	dry	4	16	1996	378	167
BBG	dry	4	16	1996	378	167
BBG	dry	4	16	1996	378	167
BBG	dry	4	16	1996	378	172
BBG	dry	4	23	1996	184	168
BBG	dry	4	23	1996	184	175
BBG	dry	4	23	1996	216	168
BBG	dry	4	23	1996	216	168
BBG	dry	4	23	1996	217	168
BBG	dry	4	23	1996	225	18
BBG	dry	4	23	1996	231	162
BBG	dry	4	23	1996	248	168
BBG	dry	4	23	1996	279	150
BBG	dry	4	23	1996	289	168
BBG	dry	4	23	1996	289	175
BBG	dry	4	23	1996	290	168
BBG	dry	4	23	1996	298	168
BBG	dry	4	23	1996	298	175
BBG	dry	4	23	1996	298	175
BBG	dry	4	23	1996	300	168
BBG	dry	4	23	1996	300	168
BBG	dry	4	23	1996	300	168
BBG	dry	4	23	1996	312	168
BBG	dry	4	23	1996	312	175
BBG	dry	4	23	1996	317	175
BBG	dry	4	23	1996	325	168
BBG	dry	4	23	1996	325	175
BBG	dry	4	23	1996	325	175
BBG	dry	4	23	1996	325	175
BBG	dry	4	23	1996	325	175
BBG	dry	4	23	1996	325	175
BBG	dry	4	23	1996	325	175
BBG	dry	4	23	1996	325	175
BBG	dry	4	23	1996	341	168
BBG	dry	4	23	1996	350	175
BBG	dry	4	23	1996	350	175
BBG	dry	4	23	1996	350	175
BBG	dry	4	23	1996	351	175
BBG	dry	4	23	1996	351	175
BBG	dry	4	23	1996	378	152
BBG	dry	4	23	1996	378	152
BBG	dry	4	24	1996	194	162
BBG	dry	4	24	1996	225	150
BBG	dry	4	24	1996	225	175
BBG	dry	4	24	1996	226	175
BBG	dry	4	24	1996	229	162
BBG	dry	4	24	1996	298	168
BBG	dry	4	24	1996	341	150
BBG	dry	4	24	1996	350	175
BBG	dry	4	24	1996	364	175
BBG	dry	4	24	1996	378	162
BBG	dry	4	24	1996	378	162
BBG	dry	4	24	1996	378	162
BBG	dry	4	24	1996	378	162
BBG	dry	5	7	1996	184	168
BBG	dry	5	7	1996	203	87
BBG	dry	5	7	1996	250	168
BBG	dry	5	7	1996	254	172
BBG	dry	5	7	1996	279	87
BBG	dry	5	7	1996	279	87
BBG	dry	5	7	1996	279	172
BBG	dry	5	7	1996	289	172
BBG	dry	5	7	1996	298	168
BBG	dry	5	7	1996	298	168
BBG	dry	5	7	1996	298	168
BBG	dry	5	7	1996	298	172
BBG	dry	5	7	1996	298	172
BBG	dry	5	7	1996	314	175
BBG	dry	5	7	1996	317	168
BBG	dry	5	7	1996	320	168
BBG	dry	5	7	1996	350	172
BBG	dry	5	7	1996	350	175
BBG	dry	5	7	1996	351	172
BBG	dry	5	7	1996	351	172
BBG	dry	5	7	1996	364	127
BBG	dry	5	7	1996	378	82
BBG	dry	5	7	1996	385	6
BBG	dry	5	8	1996	225	82
BBG	dry	5	8	1996	249	168
BBG	dry	5	8	1996	333	168
BBG	dry	5	14	1996	221	168
BBG	dry	5	14	1996	233	42
BBG	dry	5	14	1996	252	168
BBG	dry	5	14	1996	305	168
BBG	dry	5	14	1996	317	168
BBG	dry	5	14	1996	333	168
BBG	dry	5	14	1996	333	168
BBG	dry	5	14	1996	350	168
BBG	dry	5	14	1996	350	168
BBG	dry	5	14	1996	364	168
BBG	dry	5	14	1996	364	168
BBG	dry	5	14	1996	364	168
BBG	dry	5	14	1996	364	168
BBG	dry	5	14	1996	364	177
BBG	dry	5	14	1996	374	168
BBG	dry	5	14	1996	378	154
BBG	dry	5	16	1996	199	42
BBG	dry	5	16	1996	216	87
BBG	dry	5	16	1996	225	150
BBG	dry	5	16	1996	290	168
BBG	dry	5	16	1996	298	168
BBG	dry	5	16	1996	326	168
BBG	dry	5	16	1996	333	168
BBG	dry	5	21	1996	194	25
BBG	dry	5	21	1996	195	168
BBG	dry	5	21	1996	216	25
BBG	dry	5	21	1996	216	154
BBG	dry	5	21	1996	221	16
BBG	dry	5	21	1996	221	127
BBG	dry	5	21	1996	225	17
BBG	dry	5	21	1996	226	87
BBG	dry	5	21	1996	250	55
BBG	dry	5	21	1996	279	87
BBG	dry	5	21	1996	279	87
BBG	dry	5	21	1996	279	150
BBG	dry	5	21	1996	289	87
BBG	dry	5	21	1996	290	168
BBG	dry	5	21	1996	305	92
BBG	dry	5	21	1996	312	175
BBG	dry	5	21	1996	317	154
BBG	dry	5	21	1996	320	175
BBG	dry	5	21	1996	326	168
BBG	dry	5	21	1996	333	16
BBG	dry	5	21	1996	333	87
BBG	dry	5	21	1996	333	127
BBG	dry	5	21	1996	333	127
BBG	dry	5	21	1996	341	154
BBG	dry	5	21	1996	348	25
BBG	dry	5	21	1996	348	87
BBG	dry	5	21	1996	350	6
BBG	dry	5	21	1996	350	175
BBG	dry	5	21	1996	350	175
BBG	dry	5	21	1996	356	150
BBG	dry	5	21	1996	362	175
BBG	dry	5	21	1996	364	16
BBG	dry	5	21	1996	371	43
BBG	dry	5	21	1996	378	36
BBG	dry	5	21	1996	378	36
BBG	dry	5	21	1996	378	130
BBG	dry	5	21	1996	378	130
BBG	dry	5	21	1996	382	154
BBG	dry	5	21	1996	386	25
BBG	dry	5	21	1996	386	43
BBG	dry	5	21	1996	386	87
BBG	dry	5	28	1996	185	168
BBG	dry	5	28	1996	215	106
BBG	dry	5	28	1996	216	42
BBG	dry	5	28	1996	216	87
BBG	dry	5	28	1996	217	150
BBG	dry	5	28	1996	233	87
BBG	dry	5	28	1996	239	168
BBG	dry	5	28	1996	249	168
BBG	dry	5	28	1996	281	168
BBG	dry	5	28	1996	281	168
BBG	dry	5	28	1996	289	56
