Season,Month,Collection Day,Year,Bee Nr,Plant Nr
wet,Mar,16,2009,6,120
wet,Mar,16,2009,6,120
wet,Mar,16,2009,6,120
wet,Mar,16,2009,16,120
wet,Mar,16,2009,16,120
wet,Mar,16,2009,18,120
wet,Mar,16,2009,56,121
wet,Mar,16,2009,56,121
wet,Mar,16,2009,21,143
wet,Mar,16,2009,5,147
wet,Mar,16,2009,36,147
wet,Mar,16,2009,43,147
wet,Mar,16,2009,6,148
wet,Mar,16,2009,37,148
wet,Mar,16,2009,40,148
wet,Mar,16,2009,67,148
wet,Mar,16,2009,73,148
wet,Mar,16,2009,73,148
wet,Mar,16,2009,73,148
wet,Mar,16,2009,73,148
wet,Mar,16,2009,73,148
wet,Mar,16,2009,73,148
wet,Mar,16,2009,73,148
wet,Mar,16,2009,73,148
wet,Mar,16,2009,90,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,91,148
wet,Mar,16,2009,6,149
wet,Mar,16,2009,22,149
wet,Mar,16,2009,22,153
wet,Mar,16,2009,67,153
wet,Mar,16,2009,100,153
wet,Mar,16,2009,110,153
wet,Mar,16,2009,96,154
wet,Mar,16,2009,91,155
wet,Mar,16,2009,100,155
wet,Mar,16,2009,100,155
wet,Mar,16,2009,38,160
wet,Mar,16,2009,17,162
wet,Mar,16,2009,52,164
wet,Mar,16,2009,57,164
wet,Mar,16,2009,36,165
wet,Mar,16,2009,52,168
wet,Mar,16,2009,57,168
wet,Mar,16,2009,57,168
wet,Mar,16,2009,57,168
wet,Mar,16,2009,22,169
wet,Mar,16,2009,2,172
wet,Mar,16,2009,37,172
wet,Mar,16,2009,96,178
wet,Mar,16,2009,96,178
wet,Mar,16,2009,96,178
wet,Mar,16,2009,96,178
wet,Mar,16,2009,96,178
wet,Mar,16,2009,96,178
wet,Mar,16,2009,102,178
wet,Mar,16,2009,17,190
wet,Mar,16,2009,14,203
wet,Mar,17,2009,16,178
wet,Mar,17,2009,52,164
wet,Mar,17,2009,52,164
wet,Mar,17,2009,52,113
wet,Mar,17,2009,74,115
wet,Mar,17,2009,6,119
wet,Mar,17,2009,9,119
wet,Mar,17,2009,56,119
wet,Mar,17,2009,93,119
wet,Mar,17,2009,99,119
wet,Mar,17,2009,102,119
wet,Mar,17,2009,102,119
wet,Mar,17,2009,107,119
wet,Mar,17,2009,17,120
wet,Mar,17,2009,54,121
wet,Mar,17,2009,68,134
wet,Mar,17,2009,91,137
wet,Mar,17,2009,102,148
wet,Mar,17,2009,102,148
wet,Mar,17,2009,102,148
wet,Mar,17,2009,87,155
wet,Mar,17,2009,100,155
wet,Mar,17,2009,101,155
wet,Mar,17,2009,56,165
wet,Mar,17,2009,52,166
wet,Mar,17,2009,52,166
wet,Mar,17,2009,57,168
wet,Mar,17,2009,58,168
wet,Mar,17,2009,88,169
wet,Mar,17,2009,57,175
wet,Mar,17,2009,96,175
wet,Mar,17,2009,56,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,96,178
wet,Mar,17,2009,87,196
wet,Mar,18,2009,108,153
wet,Mar,18,2009,6,120
wet,Mar,18,2009,16,120
wet,Mar,18,2009,16,120
wet,Mar,18,2009,17,120
wet,Mar,18,2009,60,120
wet,Mar,18,2009,63,120
wet,Mar,18,2009,54,121
wet,Mar,18,2009,102,148
wet,Mar,18,2009,57,164
wet,Mar,18,2009,57,164
wet,Mar,18,2009,22,168
wet,Mar,18,2009,52,168
wet,Mar,18,2009,52,168
wet,Mar,18,2009,57,168
wet,Mar,18,2009,57,168
wet,Mar,18,2009,22,169
wet,Mar,18,2009,28,117
wet,Mar,19,2009,91,121
wet,Mar,19,2009,6,148
wet,Mar,19,2009,6,148
wet,Mar,19,2009,6,148
wet,Mar,19,2009,6,148
wet,Mar,19,2009,6,148
wet,Mar,19,2009,84,148
wet,Mar,19,2009,91,148
wet,Mar,19,2009,91,148
wet,Mar,19,2009,6,166
wet,Mar,19,2009,17,166
wet,Mar,19,2009,18,166
wet,Mar,19,2009,71,166
wet,Mar,19,2009,71,166
wet,Mar,19,2009,52,168
wet,Mar,19,2009,6,148
wet,Mar,19,2009,6,148
wet,Mar,19,2009,83,148
wet,Mar,19,2009,16,120
wet,Mar,19,2009,90,148
wet,Mar,19,2009,16,166
wet,Mar,19,2009,22,166
wet,Mar,19,2009,52,166
wet,Mar,19,2009,60,166
wet,Mar,19,2009,60,168
wet,Mar,19,2009,16,196
wet,Mar,19,2009,87,196
wet,Mar,19,2009,94,196
dry,Apr,20,2009,6,132
dry,Apr,20,2009,6,132
dry,Apr,20,2009,22,132
dry,Apr,20,2009,32,148
dry,Apr,20,2009,90,155
dry,Apr,20,2009,72,164
dry,Apr,20,2009,57,166
dry,Apr,20,2009,57,168
dry,Apr,20,2009,71,168
dry,Apr,20,2009,84,168
dry,Apr,20,2009,91,205
dry,Apr,20,2009,102,205
dry,Apr,21,2009,91,147
dry,Apr,21,2009,41,138
dry,Apr,21,2009,17,138
dry,Apr,22,2009,91,164
dry,Apr,22,2009,91,164
dry,Apr,22,2009,9,166
dry,Apr,22,2009,13,166
dry,Apr,22,2009,76,166
dry,Apr,22,2009,91,185
dry,Apr,22,2009,101,185
dry,Apr,22,2009,30,118
dry,May,23,2009,49,147
dry,May,23,2009,49,147
dry,May,23,2009,65,147
dry,May,23,2009,109,178
dry,May,23,2009,91,185
dry,May,24,2009,28,117
dry,May,24,2009,16,159
dry,May,24,2009,22,169
dry,May,24,2009,22,169
dry,May,24,2009,90,185
dry,May,24,2009,91,185
dry,May,24,2009,17,159
dry,May,25,2009,16,159
dry,May,25,2009,90,159
dry,May,25,2009,6,165
dry,May,25,2009,91,185
dry,May,25,2009,91,185
dry,May,25,2009,91,185
dry,May,26,2009,106,201
dry,May,26,2009,90,117
dry,May,26,2009,90,139
dry,May,26,2009,70,159
dry,May,26,2009,37,161
dry,May,26,2009,84,168
dry,May,26,2009,91,185
dry,Jun,27,2009,102,129
dry,Jun,27,2009,102,129
dry,Jun,27,2009,102,129
dry,Jun,27,2009,90,185
dry,Jun,27,2009,91,185
dry,Jun,27,2009,91,185
dry,Jun,27,2009,91,185
dry,Jun,27,2009,17,196
dry,Jun,28,2009,97,128
dry,Jun,28,2009,97,128
dry,Jun,28,2009,57,197
dry,Jun,28,2009,6,128
dry,Jun,28,2009,24,138
dry,Jun,28,2009,85,138
dry,Jun,28,2009,96,138
dry,Jun,28,2009,109,138
dry,Jun,28,2009,29,149
dry,Jun,28,2009,109,159
dry,Jun,28,2009,99,161
dry,Jun,28,2009,99,161
dry,Jun,28,2009,99,180
dry,Jun,28,2009,91,185
dry,Jun,28,2009,91,186
dry,Jun,28,2009,16,194
dry,Jun,28,2009,17,194
dry,Jun,29,2009,1,128
dry,Jun,29,2009,27,123
dry,Jun,29,2009,16,136
dry,Jun,29,2009,17,136
dry,Jun,29,2009,22,136
dry,Jun,29,2009,16,138
dry,Jun,29,2009,17,138
dry,Jun,29,2009,22,138
dry,Jun,29,2009,22,138
dry,Jun,29,2009,54,138
dry,Jun,29,2009,71,138
dry,Jun,29,2009,71,138
dry,Jun,29,2009,16,159
dry,Jun,29,2009,36,161
dry,Jun,29,2009,99,161
dry,Jun,29,2009,36,163
dry,Jun,29,2009,21,165
dry,Jun,29,2009,34,173
dry,Jun,29,2009,6,175
dry,Jun,29,2009,6,175
dry,Jun,29,2009,6,175
dry,Jun,29,2009,6,175
dry,Jun,29,2009,6,175
dry,Jun,29,2009,6,175
dry,Jun,29,2009,6,175
dry,Jun,29,2009,44,175
dry,Jun,29,2009,99,180
dry,Jun,29,2009,65,194
dry,Jun,30,2009,16,136
dry,Jun,30,2009,17,136
dry,Jun,30,2009,91,136
dry,Jun,30,2009,91,136
dry,Jun,30,2009,91,136
dry,Jun,30,2009,91,136
dry,Jun,30,2009,91,136
dry,Jun,30,2009,91,136
dry,Jun,30,2009,91,136
dry,Jun,30,2009,16,158
dry,Jun,30,2009,82,159
dry,Jun,30,2009,17,161
dry,Jun,30,2009,17,165
dry,Jun,30,2009,111,165
dry,Jun,30,2009,6,176
dry,Jun,30,2009,21,195
dry,Jul,31,2009,104,117
dry,Jul,31,2009,47,136
dry,Jul,31,2009,91,136
dry,Jul,31,2009,91,136
dry,Jul,31,2009,91,136
dry,Jul,31,2009,91,136
dry,Jul,31,2009,91,136
dry,Jul,31,2009,91,136
dry,Jul,31,2009,17,138
dry,Jul,31,2009,77,161
dry,Jul,31,2009,6,177
dry,Jul,31,2009,6,177
dry,Jul,31,2009,6,177
dry,Jul,31,2009,12,177
dry,Jul,31,2009,91,185
dry,Jul,31,2009,17,194
dry,Jul,31,2009,86,138
dry,Jul,31,2009,86,138
dry,Jul,32,2009,45,138
dry,Jul,32,2009,16,136
dry,Jul,32,2009,16,159
dry,Jul,32,2009,53,161
dry,Jul,32,2009,91,185
dry,Jul,32,2009,17,194
dry,Jul,32,2009,17,195
dry,Jul,33,2009,16,123
dry,Jul,33,2009,91,136
dry,Jul,33,2009,17,138
dry,Jul,33,2009,16,149
dry,Jul,33,2009,16,159
dry,Jul,33,2009,16,159
dry,Jul,33,2009,16,159
dry,Jul,33,2009,17,159
dry,Jul,33,2009,17,159
dry,Jul,33,2009,30,159
dry,Jul,33,2009,16,195
dry,Jul,33,2009,73,195
dry,Jul,34,2009,91,127
dry,Jul,34,2009,91,135
dry,Jul,34,2009,91,135
dry,Jul,34,2009,91,135
dry,Jul,34,2009,91,135
dry,Jul,34,2009,91,135
dry,Jul,34,2009,91,135
dry,Jul,34,2009,102,135
dry,Jul,34,2009,102,135
dry,Jul,34,2009,102,135
dry,Jul,34,2009,102,135
dry,Jul,34,2009,102,135
dry,Jul,34,2009,102,135
dry,Jul,34,2009,102,135
dry,Jul,34,2009,102,135
dry,Jul,34,2009,102,135
dry,Jul,34,2009,102,135
dry,Jul,34,2009,17,136
dry,Jul,34,2009,6,143
dry,Jul,34,2009,6,143
