Month,Collection Day,Year,Bee Nr,Plant Nr
Mar,19,2009,6,148
Mar,19,2009,40,148
Mar,19,2009,66,148
Mar,19,2009,91,148
Mar,19,2009,102,148
Mar,19,2009,16,153
Mar,19,2009,17,153
Mar,19,2009,51,153
Mar,19,2009,57,153
Mar,19,2009,57,153
Mar,19,2009,82,153
Mar,19,2009,82,153
Mar,19,2009,83,153
Mar,19,2009,108,153
Mar,19,2009,110,153
Mar,19,2009,67,155
Mar,19,2009,2,160
Mar,19,2009,84,160
Mar,19,2009,91,162
Mar,19,2009,91,162
Mar,19,2009,36,164
Mar,19,2009,52,164
Mar,19,2009,57,164
Mar,19,2009,101,164
Mar,19,2009,42,165
Mar,19,2009,57,168
Mar,19,2009,57,168
Mar,19,2009,57,168
Mar,19,2009,6,175
Mar,19,2009,6,175
Mar,19,2009,6,175
Mar,19,2009,6,175
Mar,19,2009,93,175
Mar,19,2009,96,175
Mar,19,2009,102,175
Mar,19,2009,102,175
Mar,19,2009,102,176
Mar,19,2009,63,178
Mar,19,2009,96,178
Mar,19,2009,96,178
Mar,19,2009,96,178
Mar,19,2009,96,178
Mar,19,2009,96,178
Mar,19,2009,96,178
Mar,19,2009,102,178
Mar,19,2009,6,179
Mar,19,2009,91,187
Mar,19,2009,91,190
Mar,19,2009,60,199
Mar,19,2009,64,205
Mar,19,2009,16,120
Mar,20,2009,61,114
Mar,20,2009,33,115
Mar,20,2009,90,116
Mar,20,2009,16,119
Mar,20,2009,35,119
Mar,20,2009,37,119
Mar,20,2009,102,119
Mar,20,2009,102,119
Mar,20,2009,102,119
Mar,20,2009,102,119
Mar,20,2009,6,120
Mar,20,2009,6,120
Mar,20,2009,6,120
Mar,20,2009,6,120
Mar,20,2009,16,120
Mar,20,2009,16,120
Mar,20,2009,18,120
Mar,20,2009,56,121
Mar,20,2009,56,121
Mar,20,2009,21,143
Mar,20,2009,5,147
Mar,20,2009,36,147
Mar,20,2009,43,147
Mar,20,2009,6,148
Mar,20,2009,37,148
Mar,20,2009,40,148
Mar,20,2009,67,148
Mar,20,2009,73,148
Mar,20,2009,73,148
Mar,20,2009,73,148
Mar,20,2009,73,148
Mar,20,2009,73,148
Mar,20,2009,73,148
Mar,20,2009,73,148
Mar,20,2009,73,148
Mar,20,2009,90,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,91,148
Mar,20,2009,6,149
Mar,20,2009,22,149
Mar,20,2009,22,153
Mar,20,2009,67,153
Mar,20,2009,100,153
Mar,20,2009,110,153
Mar,20,2009,96,154
Mar,20,2009,91,155
Mar,20,2009,100,155
Mar,20,2009,100,155
Mar,20,2009,38,160
Mar,20,2009,17,162
