Month,Day,Year,Bee,Plant
4,25,1997,246,168
4,25,1997,247,59
4,25,1997,249,172
4,25,1997,277,125
4,25,1997,279,87
4,25,1997,281,176
4,25,1997,281,87
4,25,1997,284,172
4,25,1997,285,168
4,25,1997,298,168
4,25,1997,313,168
4,25,1997,323,172
4,25,1997,330,172
4,25,1997,350,32
4,25,1997,350,85
4,25,1997,350,172
4,25,1997,377,172
4,25,1997,378,26
4,25,1997,378,172
4,25,1997,378,175
4,29,1997,217,154
4,29,1997,236,162
4,29,1997,279,150
4,29,1997,312,30
4,29,1997,317,154
4,29,1997,325,30
4,29,1997,326,30
4,29,1997,326,150
4,29,1997,326,168
4,29,1997,330,43
4,29,1997,341,150
4,29,1997,355,162
4,29,1997,362,30
4,29,1997,364,150
4,29,1997,364,168
4,29,1997,378,30
4,29,1997,378,162
4,29,1997,385,83
