Pollinator.name,Taxa,Genus,Species,Size,SizeType,SizeUnits,Mass,MassUnits,Reference
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154721"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154722"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154723"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154724"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154725"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154726"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154727"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154728"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154729"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,0.8,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154730"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154731"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154732"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.3,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154733"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.3,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154734"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154735"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154736"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154737"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154738"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154739"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154740"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154741"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154742"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154743"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154744"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154745"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154746"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154747"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154748"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154749"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154750"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154751"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154752"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154753"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154754"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154755"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154756"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154757"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154758"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154759"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154760"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154761"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154762"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154763"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154764"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154765"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154766"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154767"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154768"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154769"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154770"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154771"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154772"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154773"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154774"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154775"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154776"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154777"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,0.9,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154778"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154779"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154780"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154781"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,0.9,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154782"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,0.9,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154783"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154784"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,0.9,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154785"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154786"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154787"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,0.9,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154788"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154789"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,0.9,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154790"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154791"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,0.9,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154792"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,0.9,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154793"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154794"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,0.9,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154795"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154796"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154797"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,0.9,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154798"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154799"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154800"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154801"
Halictus.tumulorum,Halictus tumulorum,Halictus,tumulorum,1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0154802"
