Pollinator.name,Taxa,Genus,Species,Size,SizeType,SizeUnits,Mass,MassUnits,Reference
Andrena.apacheorum,Andrena apacheorum,Andrena,apacheorum,9,BL,mm,,,"Cockerell, T.D.A., 1900. LIV.†Observations on bees collected at Las Vegas, New Mexico, and in the adjacent Mountains. Journal of Natural History, 5(29), pp.401-416."
Andrena.arabis,Andrena arabis,Andrena,arabis,1.9,ITD,mm,,,"Bartomeus, I., Ascher, J. S., Gibbs, J., Danforth, B. N., Wagner, D. L., Hedtke, S. M., & Winfree, R. (2013). Historical changes in northeastern US bee pollinators related to shared ecological traits. Proceedings of the National Academy of Sciences of the United States of America, 110(12), 4656_60. http://doi.org/10.1073/pnas.1218503110"
Andrena.asteris,Andrena asteris,Andrena,asteris,2.9,ITD,mm,,,"Bartomeus, I., Ascher, J. S., Gibbs, J., Danforth, B. N., Wagner, D. L., Hedtke, S. M., & Winfree, R. (2013). Historical changes in northeastern US bee pollinators related to shared ecological traits. Proceedings of the National Academy of Sciences of the United States of America, 110(12), 4656_60. http://doi.org/10.1073/pnas.1218503110"
Andrena.auricoma,Andrena auricoma,Andrena,auricoma,1.62,ITD,mm,,,"Kremen C, M'Gonigle LK (2015) Small-scale restoration in intensive agricultural landscapes supports more specialized and less mobile pollinator species. Journal of Applied Ecology 52(3): 602-610. http://dx.doi.org/10.1111/1365-2664.12420"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.0345,ITD,mm,,,"Bartomeus, I., Ascher, J. S., Gibbs, J., Danforth, B. N., Wagner, D. L., Hedtke, S. M., & Winfree, R. (2013). Historical changes in northeastern US bee pollinators related to shared ecological traits. Proceedings of the National Academy of Sciences of the United States of America, 110(12), 4656_60. http://doi.org/10.1073/pnas.1218503110"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.34,ITD,mm,,,"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., — Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (hymenoptera: anthophila) along an urbanization gradient. PLoS ONE, 9(8). http://doi.org/10.1371/journal.pone.0104679"
Andrena.barbilabris,Andrena barbilabris ,Andrena,barbilabris,2.1,ITD,mm,,,"Greenleaf, S. S., Williams, N. M., Winfree, R., & Kremen, C. (2007). Bee foraging ranges and their relationship to body size. Oecologia, 153(3), 589_596. http://doi.org/10.1007/s00442-007-0752-41"
Andrena.barbilabris,Andrena barbilabris ,Andrena,barbilabris,2.1,ITD,mm,,,"Greenleaf, S. S., Williams, N. M., Winfree, R., & Kremen, C. (2007). Bee foraging ranges and their relationship to body size. Oecologia, 153(3), 589_596. http://doi.org/10.1007/s00442-007-0752-42"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.1,ITD,mm,,,"Greenleaf, S. S., Williams, N. M., Winfree, R., & Kremen, C. (2007). Bee foraging ranges and their relationship to body size. Oecologia, 153(3), 589_596. http://doi.org/10.1007/s00442-007-0752-9"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.3,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152275"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.6,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152276"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.3,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152277"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.5,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152278"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.5,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152279"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.3,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152280"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.4,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152281"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.5,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152282"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.5,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152283"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.1,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152284"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.3,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152285"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.2,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152286"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.3,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152287"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.3,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152288"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.3,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152289"
Andrena.barbilabris,Andrena barbilabris,Andrena,barbilabris,2.3,ITD,mm,,,"Oliveira, M. O., Freitas, B. M., Scheper, J., & Kleijn, D. (2016). Size and Sex-Dependent Shrinkage of Dutch Bees during One-and-a-Half Centuries of Land-Use Change. Plos One, 11(2), e0148983. http://doi.org/10.1371/journal.pone.0152290"
