,Order,Pollinator.name,Genus,Species,Taxa,SystemCode,Degree,SystemReference,Size,SizeType,Mass
454,Diptera,Fannia.ungulata,Fannia,ungulata,Fannia ungulata,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",3.98,BL,
455,,Florisuga.fusca,Florisuga,fusca,Florisuga fusca,hum,4,"Vizentin-Bugoni, J., P. K. Maruyama, V. J. Debastiani, L. S. Duarte, B. Dalsgaard & M. Sazima (2016). Influences of sampling effort on detected patterns and structuring processes of a Neotropical plant-hummingbird network. Journal of Animal Ecology 85: 262-272.",7.7,Mass,
456,Hymenoptera,Foenus.perplexus,Foenus,perplexus,Foenus perplexus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",11,BL,
457,Diptera,Forcipomyia.sp,Forcipomyia,sp,Forcipomyia sp,tun,1,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",2.25,BL,
458,Hymenoptera,Gaesischia.araguaiana,Gaesischia,araguaiana,Gaesischia araguaiana,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL,
459,Hymenoptera,Gaesischia.belophora,Gaesischia,belophora,Gaesischia belophora,bbg,7,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL,
460,Hymenoptera,Gaesischia.belophora,Gaesischia,belophora,Gaesischia belophora,cer,5,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL,
461,Hymenoptera,Gaesischia.flavoclypeata,Gaesischia,flavoclypeata,Gaesischia flavoclypeata,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL,
462,Hymenoptera,Gaesischia.fulgurans,Gaesischia,fulgurans,Gaesischia fulgurans,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL,
463,Hymenoptera,Gaesischia.nigra,Gaesischia,nigra,Gaesischia nigra,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL,
464,Hemiptera,Geocoris.bullatus,Geocoris,bullatus,Geocoris bullatus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",4.1,BL,
465,Hymenoptera,Geotrigona.mombuca,Geotrigona,mombuca,Geotrigona mombuca,cer,6,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,5.75,BL,
466,Hymenoptera,Glypta.sp,Glypta,sp,Glypta sp,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",7.56,BL,
467,Lepidoptera,Gnophaela.vermiculata,Gnophaela,vermiculata,Gnophaela vermiculata,ppc,5,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",54,WS,
468,Diptera,Gonia.sp,Gonia,sp,Gonia sp,nca,5,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",10,BL,
469,Hymenoptera,Habralictus.sp,Habralictus,sp,Habralictus sp,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,5.25,BL,
470,Hymenoptera,Halictid.sp,Halictid,sp,Halictid sp,nca,3,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",7,BL,
471,,Halictoides.mamus,Halictoides,mamus,Halictoides mamus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",NA,NA,
472,Hymenoptera,Halictus.confusus,Halictus,confusus,Halictus confusus,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",1.4,ITD,
473,Hymenoptera,Halictus.confusus,Halictus,confusus,Halictus confusus,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",1.4,ITD,
474,Hymenoptera,Halictus.fendleri,Halictus,fendleri,Halictus fendleri,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9.25,BL,
475,Hymenoptera,Halictus.lerouxi,Halictus,lerouxi,Halictus lerouxi,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL,
476,Hymenoptera,Halictus.manitonellus,Halictus,manitonellus,Halictus manitonellus,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9.25,BL,
477,Hymenoptera,Halictus.medionitens,Halictus,medionitens,Halictus medionitens,ppc,5,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9.25,BL,
478,Hymenoptera,Halictus.pulzenus,Halictus,pulzenus,Halictus pulzenus,ppc,17,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9.25,BL,
479,Hymenoptera,Halictus.rubicundus,Halictus,rubicundus,Halictus rubicundus,bwk,2,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2,ITD,
480,Hymenoptera,Halictus.sp,Halictus,sp,Halictus sp,ppc,25,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9.25,BL,
481,Diptera,Hammerschmidtia.ferruginea,Hammerschmidtia,ferruginea,Hammerschmidtia ferruginea,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.5,BL,
482,Diptera,Helicobia.morionella,Helicobia,morionella,Helicobia morionella,gsv,2,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",5.5,BL,
483,Lepidoptera,Heliopetes.arsalte,Heliopetes,arsalte,Heliopetes arsalte,gsv,2,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",40,WS,
484,Diptera,Helophilus.fasciatus,Helophilus,fasciatus,Helophilus fasciatus,otw,5,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",14,BL,
485,Diptera,Helophilus.fasciatus,Helophilus,fasciatus,Helophilus fasciatus,bfi,3,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",14,BL,
486,Diptera,Helophilus.groenlandicus,Helophilus,groenlandicus,Helophilus groenlandicus,tun,2,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",12,BL,
487,Diptera,Helophilus.laetus,Helophilus,laetus,Helophilus laetus,otw,3,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",12.5,BL,
488,Diptera,Helophilus.lapponicus,Helophilus,lapponicus,Helophilus lapponicus,tun,2,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",12,BL,
489,Diptera,Helophilus.latifrons,Helophilus,latifrons,Helophilus latifrons,otw,3,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",13,BL,
490,Diptera,Helophilus.latifrons,Helophilus,latifrons,Helophilus latifrons,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",13,BL,
491,Diptera,Helophilus.sp,Helophilus,sp,Helophilus sp,snk,3,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",12.5,BL,
492,Diptera,Helophilus.sp,Helophilus,sp,Helophilus sp,hnk,8,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",12.5,BL,
493,Diptera,Helophilus.trivittatus,Helophilus,trivittatus,Helophilus trivittatus,hnk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",11.375,BL,
494,Hymenoptera,Heriades.gracilior,Heriades,gracilior,Heriades gracilior,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",7.5,BL,
495,Diptera,Heringia.salax,Heringia,salax,Heringia salax,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL,
496,Hymenoptera,Hopliphora.superba,Hopliphora,superba,Hopliphora superba,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,19.5,BL,
497,Hymenoptera,Hoplitis.fulgida,Hoplitis,fulgida,Hoplitis fulgida,ppc,4,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL,
498,Hymenoptera,Hoplitis.producta,Hoplitis,producta,Hoplitis producta,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",1.2375,ITD,
499,Diptera,Hybomitra.minuscula,Hybomitra,minuscula,Hybomitra minuscula,otw,1,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",8.53,BL,
500,Diptera,Hybomitra.typhus,Hybomitra,typhus,Hybomitra typhus,otw,2,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",12,BL,
501,Hymenoptera,Hylaeus.basalis,Hylaeus,basalis,Hylaeus basalis,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8.5,BL,
502,Hymenoptera,Hylaeus.ellipticus,Hylaeus,ellipticus,Hylaeus ellipticus,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",5,BL,
503,Hymenoptera,Hylaeus.episcopalis,Hylaeus,episcopalis,Hylaeus episcopalis,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",5.5,BL,
504,Hymenoptera,Hylaeus.macroupinensis,Hylaeus,macroupinensis,Hylaeus macroupinensis,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",5.5,BL,
505,Hymenoptera,Hylaeus.stevensi,Hylaeus,stevensi,Hylaeus stevensi,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",5.5,BL,
506,Diptera,Hylemya.platura,Hylemya,platura,Hylemya platura,nca,2,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",5,BL,
507,Lepidoptera,Hyles.lineata,Hyles,lineata,Hyles lineata,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",76.5,WS,
508,Hymenoptera,Hypanthidium.nigritulum,Hypanthidium,nigritulum,Hypanthidium nigritulum,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8.75,BL,
509,Diptera,Hypoderma.tarandi,Hypoderma,tarandi,Hypoderma tarandi,tun,1,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",14.3,BL,
510,Hemiptera,Irbisia.brachycerus,Irbisia,brachycerus,Irbisia brachycerus,ppc,5,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",5.75,BL,
511,Coleoptera,Judolia.montivagans,Judolia,montivagans,Judolia montivagans,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",10,BL,
512,Lepidoptera,Junonia.evarete,Junonia,evarete,Junonia evarete,gsv,1,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",51,WS,
513,Hymenoptera,Larocanthidium.sp,Larocanthidium,sp,Larocanthidium sp,cer,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,6.5,BL,
514,Lepidoptera,Lasiestra.leucocycla,Lasiestra,leucocycla,Lasiestra leucocycla,tun,2,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",25,WS,
515,Hymenoptera,Lasioglossum.calceatum,Lasioglossum,calceatum,Lasioglossum calceatum,hnk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",1.7,ITD,
516,Hymenoptera,Lasioglossum.calceatum,Lasioglossum,calceatum,Lasioglossum calceatum,snk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",1.7,ITD,
517,Hymenoptera,Lasioglossum.forbesii,Lasioglossum,forbesii,Lasioglossum forbesii,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",8.5,BL,
518,Hymenoptera,Lasioglossum.fuscipenne,Lasioglossum,fuscipenne,Lasioglossum fuscipenne,nca,1,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",1.81,ITD,
519,Hymenoptera,Lasioglossum.leucozonium,Lasioglossum,leucozonium,Lasioglossum leucozonium,hnk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",1.8,ITD,
520,Hymenoptera,Lasioglossum.macoupinense,Lasioglossum,macoupinense,Lasioglossum macoupinense,nca,5,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",1.193333333,ITD,
521,Hymenoptera,Lasioglossum.rostratus,Lasioglossum,rostratus,Lasioglossum rostratus,bbg,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.5,BL,
522,Hymenoptera,Lasioglossum.sp,Lasioglossum,sp,Lasioglossum sp,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.5,BL,
523,Hymenoptera,Lasioglossum.sp,Lasioglossum,sp,Lasioglossum sp,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.5,BL,
524,Hymenoptera,Lasioglossum.villosulum,Lasioglossum,villosulum,Lasioglossum villosulum,hnk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",1.3,ITD,
525,Hymenoptera,Lasioglossum.villosulum,Lasioglossum,villosulum,Lasioglossum villosulum,snk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",1.3,ITD,
526,Lepidoptera,Lasiommata.megera,Lasiommata,megera,Lasiommata megera,hnk,3,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",45,WS,
527,Diptera,Lejogaster.splendida,Lejogaster,splendida,Lejogaster splendida,hnk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",9,BL,
528,,Lemonias.nubigena,Lemonias,nubigena,Lemonias nubigena,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",NA,NA,
529,Hemiptera,Leptura.chrysocoma,Leptura,chrysocoma,Leptura chrysocoma,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",15,BL,
530,,Leucochloris.albicollis,Leucochloris,albicollis,Leucochloris albicollis,hum,8,"Vizentin-Bugoni, J., P. K. Maruyama, V. J. Debastiani, L. S. Duarte, B. Dalsgaard & M. Sazima (2016). Influences of sampling effort on detected patterns and structuring processes of a Neotropical plant-hummingbird network. Journal of Animal Ecology 85: 262-272.",6.25,Mass,
531,Lepidoptera,Limenitis.weidemeyerii,Limenitis,weidemeyerii,Limenitis weidemeyerii,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",76,WS,
532,Lepidoptera,Lintneria.separatus,Lintneria,separatus,Lintneria separatus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",120,WS,
533,Hymenoptera,Lithurgopsis.apicalis,Lithurgopsis,apicalis,Lithurgopsis apicalis,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",12,BL,
534,Hymenoptera,Lithurgus.huberi,Lithurgus,huberi,Lithurgus huberi,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,13.5,BL,
535,Hymenoptera,Lithurgus.sp,Lithurgus,sp,Lithurgus sp,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,13.5,BL,
536,,Lophornis.chalybeus,Lophornis,chalybeus,Lophornis chalybeus,hum,3,"Vizentin-Bugoni, J., P. K. Maruyama, V. J. Debastiani, L. S. Duarte, B. Dalsgaard & M. Sazima (2016). Influences of sampling effort on detected patterns and structuring processes of a Neotropical plant-hummingbird network. Journal of Animal Ecology 85: 262-272.",3,Mass,
537,Diptera,Lucilia.sp,Lucilia,sp,Lucilia sp,gsv,1,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",6,BL,
538,Diptera,Lucilia.sp,Lucilia,sp,Lucilia sp,hnk,2,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",6,BL,
539,Diptera,Lucilia.sp,Lucilia,sp,Lucilia sp,snk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",6,BL,
540,Lepidoptera,Lycaena.helloides,Lycaena,helloides,Lycaena helloides,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",34,WS,
541,Lepidoptera,Lycaena.phlaeas,Lycaena,phlaeas,Lycaena phlaeas,snk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",33.5,WS,
542,Lepidoptera,Lycaena.phlaeas,Lycaena,phlaeas,Lycaena phlaeas,hnk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",33.5,WS,
543,,Lycaena.pseudargiolus,Lycaena,pseudargiolus,Lycaena pseudargiolus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",NA,NA,
544,Lepidoptera,Lycaena.rubidus,Lycaena,rubidus,Lycaena rubidus,ppc,4,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",30,WS,
545,Lepidoptera,Lycaenopsis.argiolus,Lycaenopsis,argiolus,Lycaenopsis argiolus,nca,1,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",35,WS,
546,Hemiptera,Lygus.pratensis,Lygus,pratensis,Lygus pratensis,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",6.5,BL,
547,Hemiptera,Lygus.rufidorsus,Lygus,rufidorsus,Lygus rufidorsus,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",4.86,BL,
548,Coleoptera,Macrodactlyus.subspinosus,Macrodactlyus,subspinosus,Macrodactlyus subspinosus,otw,1,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",10.5,BL,
549,Diptera,Mallota.flavoterminata,Mallota,flavoterminata,Mallota flavoterminata,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",13,BL,
550,Diptera,Mallota.posticata,Mallota,posticata,Mallota posticata,bwk,2,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9.5,BL,
551,,Manduca.quinquemaculatus,Manduca,quinquemaculatus,Manduca quinquemaculatus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",NA,NA,
552,Lepidoptera,Maniola.jurtina,Maniola,jurtina,Maniola jurtina,hnk,7,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",52.5,WS,
553,Lepidoptera,Maniola.jurtina,Maniola,jurtina,Maniola jurtina,snk,4,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",52.5,WS,
554,Hymenoptera,Megachile.affabilis,Megachile,affabilis,Megachile affabilis,bbg,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL,
555,Hymenoptera,Megachile.assumptionis,Megachile,assumptionis,Megachile assumptionis,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL,
556,Hymenoptera,Megachile.aureiventris,Megachile,aureiventris,Megachile aureiventris,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL,
557,Hymenoptera,Megachile.aureiventris,Megachile,aureiventris,Megachile aureiventris,cer,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL,
558,Hymenoptera,Megachile.brethesi,Megachile,brethesi,Megachile brethesi,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL,
559,Hymenoptera,Megachile.curvipes,Megachile,curvipes,Megachile curvipes,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL,
560,Hymenoptera,Megachile.diversa,Megachile,diversa,Megachile diversa,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL,
561,Hymenoptera,Megachile.frankieana,Megachile,frankieana,Megachile frankieana,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL,
562,Hymenoptera,Megachile.friesei,Megachile,friesei,Megachile friesei,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL,
563,Hymenoptera,Megachile.gemula,Megachile,gemula,Megachile gemula,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",3.225,ITD,
564,Hymenoptera,Megachile.gigas,Megachile,gigas,Megachile gigas,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL,
