,Order,Pollinator.name,Genus,Species,Taxa,SystemCode,Degree,SystemReference,Size,SizeType,Mass
328,Hymenoptera,Dialictus.abanci,Dialictus,abanci,Dialictus abanci,nca,6,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",6,BL,
329,Hymenoptera,Dialictus.coeruleus,Dialictus,coeruleus,Dialictus coeruleus,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",7,BL,
330,Hymenoptera,Dialictus.cressonii,Dialictus,cressonii,Dialictus cressonii,bwk,4,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",6.5,BL,
331,Hymenoptera,Dialictus.cressonii,Dialictus,cressonii,Dialictus cressonii,nca,3,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",6.5,BL,
332,Hymenoptera,Dialictus.imitatus,Dialictus,imitatus,Dialictus imitatus,bwk,2,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",4.18,BL,
333,Hymenoptera,Dialictus.imitatus,Dialictus,imitatus,Dialictus imitatus,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",4.18,BL,
334,Hymenoptera,Dialictus.oblongus,Dialictus,oblongus,Dialictus oblongus,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",5.75,BL,
335,Hymenoptera,Dialictus.obscurus,Dialictus,obscurus,Dialictus obscurus,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",6,BL,
336,Hymenoptera,Dialictus.pilosus,Dialictus,pilosus,Dialictus pilosus,otw,3,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",6,BL,
337,Hymenoptera,Dialictus.rostratus,Dialictus,rostratus,Dialictus rostratus,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,5.75,BL,
338,Hymenoptera,Dialictus.sp,Dialictus,sp,Dialictus sp,bwk,8,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",5.75,BL,
339,Hymenoptera,Dialictus.sp,Dialictus,sp,Dialictus sp,gsv,4,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",5.75,BL,
340,Hymenoptera,Dialictus.sp,Dialictus,sp,Dialictus sp,cer,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,5.75,BL,
341,Hymenoptera,Dialictus.zephyrus,Dialictus,zephyrus,Dialictus zephyrus,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",6,BL,
342,Hymenoptera,Dianthidium.sp,Dianthidium,sp,Dianthidium sp,bbg,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,14.25,BL,
343,Diptera,Dilophus.caurinus,Dilophus,caurinus,Dilophus caurinus,otw,1,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",4.55,BL,
344,Diptera,Dolichopus.groenlandicus,Dolichopus,groenlandicus,Dolichopus groenlandicus,tun,2,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",5,BL,
345,Hymenoptera,Dolichovespula.arctica,Dolichovespula,arctica,Dolichovespula arctica,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",1.5,BL,
346,Hymenoptera,Dolichovespula.arenaria,Dolichovespula,arenaria,Dolichovespula arenaria,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",10.5,BL,
347,Hymenoptera,Dolichovespula.diabolica,Dolichovespula,diabolica,Dolichovespula diabolica,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",14.25,BL,
348,Diptera,Drymeia.groenlandica,Drymeia,groenlandica,Drymeia groenlandica,tun,1,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",3,BL,
349,,Echinomyia.decias,Echinomyia,decias,Echinomyia decias,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",NA,NA,
350,Diptera,Eclimus.harrisi,Eclimus,harrisi,Eclimus harrisi,bwk,2,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",7.5,BL,
351,Hymenoptera,Ectemnius.dilectus,Ectemnius,dilectus,Ectemnius dilectus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL,
352,Hymenoptera,Ectemnius.montanus,Ectemnius,montanus,Ectemnius montanus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL,
353,Hymenoptera,Ectemnius.muricatus,Ectemnius,muricatus,Ectemnius muricatus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL,
354,Hymenoptera,Ectemnius.sp,Ectemnius,sp,Ectemnius sp,gsv,1,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",10,BL,
355,Diptera,Empis.livida,Empis,livida,Empis livida,snk,3,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",9,BL,
356,Diptera,Empis.livida,Empis,livida,Empis livida,hnk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",9,BL,
357,Diptera,Epalpus.rufus,Epalpus,rufus,Epalpus rufus,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",11,BL,
