,Pollinator.name,Genus,Species,SystemCode,Degree,SystemReference,Size,SizeType
807,Syritta.pipiens,Syritta,pipiens,hnk,2,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",7.5,BL
808,Syritta.rectus,Syritta,rectus,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8,BL
809,Syrphus.amalopis,Syrphus,amalopis,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL
810,Syrphus.nitens,Syrphus,nitens,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL
811,Syrphus.opinator,Syrphus,opinator,ppc,6,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9.5,BL
812,Syrphus.sp,Syrphus,sp,snk,4,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",10,BL
813,Syrphus.sp,Syrphus,sp,bfi,2,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",10,BL
814,Syrphus.sp,Syrphus,sp,hnk,3,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",10,BL
815,Syrphus.torvus,Syrphus,torvus,otw,2,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",3.6,HW
816,Syrphus.torvus,Syrphus,torvus,bfi,3,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",3.6,HW
817,Systoechus.vulgaris,Systoechus,vulgaris,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",12.5,BL
818,Tabanus.rhombicus,Tabanus,rhombicus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",14,BL
819,Tabanus.sp,Tabanus,sp,gsv,1,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",7.5,BL
820,Tachina.algens,Tachina,algens,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",12.5,BL
821,Temnostoma.aequale,Temnostoma,aequale,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",16.7,BL
822,Temnostoma.alternans,Temnostoma,alternans,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",20,BL
823,Temnostoma.balyras,Temnostoma,balyras,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",10,BL
824,Temnostoma.barberi,Temnostoma,barberi,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",11.75,BL
825,Temnostoma.sp,Temnostoma,sp,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,16.7,BL
826,Temnostoma.sp,Temnostoma,sp,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,16.7,BL
827,Tenthredella.flavomarginis,Tenthredella,flavomarginis,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",11.25,BL
828,Tenthredella.unicincta,Tenthredella,unicincta,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",11.25,BL
829,Terellia.occidentalis,Terellia,occidentalis,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",5.5,BL
830,Tetanocera.ferruginea,Tetanocera,ferruginea,hnk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",9.5,BL
831,Tetragona.clavipes,Tetragona,clavipes,bbg,30,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,6.4,BL
832,Tetragona.quadrangula,Tetragona,quadrangula,cer,5,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,6.5,BL
833,Tetraopes.sp,Tetraopes,sp,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL
834,Tetrapedia.diversipes,Tetrapedia,diversipes,cer,7,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,2.11,ITD
835,Tetrapedia.peckoltii,Tetrapedia,peckoltii,cer,5,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10.5,BL
836,Tetrapedia.rugulosa,Tetrapedia,rugulosa,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10.5,BL
837,Tetrapedia.sp,Tetrapedia,sp,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10.5,BL
838,Thalestria.spinosa,Thalestria,spinosa,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15.5,BL
839,Thalurania.glaucopis,Thalurania,glaucopis,hum,24,"Vizentin-Bugoni, J., P. K. Maruyama, V. J. Debastiani, L. S. Duarte, B. Dalsgaard & M. Sazima (2016). Influences of sampling effort on detected patterns and structuring processes of a Neotropical plant-hummingbird network. Journal of Animal Ecology 85: 262-272.",#N/A,#N/A
840,Thamnotettix.confinis,Thamnotettix,confinis,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",5.75,BL
841,Thectochlora.alaris,Thectochlora,alaris,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7,BL
842,Theventimtia.muricatus,Theventimtia,muricatus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",#N/A,#N/A
843,Thygater.analis,Thygater,analis,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,13,BL
844,Thymelicus.lineola,Thymelicus,lineola,otw,2,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",28.5,WS
