Pollinator.name,Taxa,Genus,Species,PlantName,Interactions,SystemCode,Season,Day,Month,Year,SystemLocation,Reference
Prosopis.basalis,Prosopis basalis,Prosopis,basalis,Penstemon halli,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Osmia.bella,Osmia bella,Osmia,bella,Iris missouriensis,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Xanthoepalpus.bicolor,Xanthoepalpus bicolor,Xanthoepalpus,bicolor,Carduus hookerianus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Xanthoepalpus.bicolor,Xanthoepalpus bicolor,Xanthoepalpus,bicolor,Solidago missouriensis,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Xanthoepalpus.bicolor,Xanthoepalpus bicolor,Xanthoepalpus,bicolor,Polygonum bistorta,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Paragus.bicolor,Paragus bicolor,Paragus,bicolor,Sieversia turbinata,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Rubus deliciosus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Geranium caespitosum,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Pentstemon glaber,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Chamaenerium angustifolium,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Pentstemon gracilis,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Monarda fistulosa,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Mertensia sibirica,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Carduus hookerianus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Rubus strigosus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Erigeron macranthus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Holodiscus dumosus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Penstemon secundiflorus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Stanleya pinnatifida,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
