,Pollinator.name,Genus,Species,Size,SizeType
2767,Exoneuridia.sp,Exoneuridia,sp,7.5,BL
2770,Exoprosopa.sp,Exoprosopa,sp,13.8,BL
2773,Fidelia.sp,Fidelia,sp,17.5,BL
2774,Florilegus.sp,Florilegus,sp,11.5,BL
2777,Forcipomyia.sp,Forcipomyia,sp,2.25,BL
2778,Gaesischia.sp,Gaesischia,sp,12.5,BL
2779,Gaesochira.sp,Gaesochira,sp,11,BL
2780,Gasparinahla.sp,Gasparinahla,sp,6.5,BL
2782,Geotrigona.sp,Geotrigona,sp,5.75,BL
2783,Glossodialictus.sp,Glossodialictus,sp,8.5,BL
2784,Glossurocolletes.sp,Glossurocolletes,sp,7.5,BL
2785,Glypta.sp,Glypta,sp,7.56,BL
2786,Gnathanthidium.sp,Gnathanthidium,sp,9.75,BL
2788,Gonia.sp,Gonia,sp,10,BL
2789,Habralictus.sp,Habralictus,sp,5.25,BL
2790,Habrophorula.sp,Habrophorula,sp,11,BL
2791,Habropoda.sp,Habropoda,sp,14,BL
2792,Haetosmia.sp,Haetosmia,sp,6,BL
2793,Halictid.sp,Halictid,sp,7,BL
2794,Halictillus.sp,Halictillus,sp,5.5,BL
2795,Halictonomia.sp,Halictonomia,sp,6.5,BL
3066,Halictus.sp,Halictus,sp,9.25,BL
3299,Hamatothrix.sp,Hamatothrix,sp,8.5,BL
3301,Haplomelitta.sp,Haplomelitta,sp,9.75,BL
3302,Helicobia.sp,Helicobia,sp,5.5,BL
3308,Helophilus.sp,Helophilus,sp,12.5,BL
3310,Hemirhiza.sp,Hemirhiza,sp,6,BL
3315,Heriades.sp,Heriades,sp,5.5,BL
3318,Hesperapis.sp,Hesperapis,sp,9.25,BL
3319,Hesperocolletes.sp,Hesperocolletes,sp,12,BL
3320,Heterohesma.sp,Heterohesma,sp,10,BL
3323,Hofferia.sp,Hofferia,sp,11.75,BL
3324,Holcopasites.sp,Holcopasites,sp,5.25,BL
3325,Homalictus.sp,Homalictus,sp,7.25,BL
3326,Hopliphora.sp,Hopliphora,sp,19.5,BL
3335,Hoplitis.sp,Hoplitis,sp,10.5,BL
3336,Hoplosmia.sp,Hoplosmia,sp,8.25,BL
3337,Hoplostelis.sp,Hoplostelis,sp,11,BL
3340,Hyeloides.sp,Hyeloides,sp,12,BL
3371,Hylaeus.sp,Hylaeus,sp,5.5,BL
3376,Hypanthidiodes.sp,Hypanthidiodes,sp,7,BL
3377,Hypanthidium.sp,Hypanthidium,sp,8.75,BL
3378,Hyphesma.sp,Hyphesma,sp,4.25,BL
3380,Hypotrigona.sp,Hypotrigona,sp,2.95,BL
3381,Icteranthidium.sp,Icteranthidium,sp,11.25,BL
3382,Indanthidium.sp,Indanthidium,sp,6.75,BL
3383,Irbisia.sp,Irbisia,sp,5.75,BL
3384,Isepeolus.sp,Isepeolus,sp,8.5,BL
3387,Kelita.sp,Kelita,sp,4.3,BL
3388,Larinostelis.sp,Larinostelis,sp,6.5,BL
3389,Larocanthidium.sp,Larocanthidium,sp,6.5,BL
3967,Lasioglossum.sp,Lasioglossum,sp,7.5,BL
4175,Leiopodus.sp,Leiopodus,sp,9,BL
4176,Leioproctus.sp,Leioproctus,sp,10.5,BL
4177,Lejogaster.sp,Lejogaster,sp,9,BL
4179,Lestrimelitta.sp,Lestrimelitta,sp,5.5,BL
4186,Liotrigona.sp,Liotrigona,sp,2.4,BL
4187,Liphanthus.sp,Liphanthus,sp,5,BL
4188,Lipotriches.sp,Lipotriches,sp,9,BL
4189,Lisotrigona.sp,Lisotrigona,sp,2.75,BL
4193,Lithurgus.sp,Lithurgus,sp,13.5,BL
4194,Lonchopria.sp,Lonchopria,sp,11.25,BL
4195,Lonchorhyncha.sp,Lonchorhyncha,sp,12,BL
4197,Lophothygater.sp,Lophothygater,sp,12.25,BL
4198,Lucilia.sp,Lucilia,sp,6,BL
4206,Macrogalea.sp,Macrogalea,sp,9,BL
4210,Macropis.sp,Macropis,sp,9.5,BL
4211,Macrotera.sp,Macrotera,sp,6.5,BL
4217,Martinapis.sp,Martinapis,sp,14,BL
4957,Megachile.sp,Megachile,sp,22,BL
4964,Megalopta.sp,Megalopta,sp,13,BL
4965,Megaloptilla.sp,Megaloptilla,sp,9.5,BL
4966,Megandrena.sp,Megandrena,sp,14,BL
4967,Meganomia.sp,Meganomia,sp,18.5,BL
4969,Megommation.sp,Megommation,sp,11,BL
4970,Melanempis.sp,Melanempis,sp,18.5,BL
4978,Melanostoma.sp,Melanostoma,sp,7,BL
4982,Melecta.sp,Melecta,sp,13,BL
4983,Melectoides.sp,Melectoides,sp,9.25,BL
4985,Meliphilopsis.sp,Meliphilopsis,sp,8.4,BL
4990,Melipona.sp,Melipona,sp,11.5,BL
4991,Meliponula.sp,Meliponula,sp,6.25,BL
4994,Meliscaeva.sp,Meliscaeva,sp,8,BL
5002,Melissodes.sp,Melissodes,sp,12.25,BL
5005,Melissoptila.sp,Melissoptila,sp,10,BL
5007,Melitoma.sp,Melitoma,sp,11.5,BL
5008,Melitomella.sp,Melitomella,sp,9,BL
5010,Melitta.sp,Melitta,sp,11.5,BL
5011,Melittosmithia.sp,Melittosmithia,sp,7.75,BL
5012,Melitturga.sp,Melitturga,sp,12.5,BL
5013,Meliturgula.sp,Meliturgula,sp,8.5,BL
5014,Meliwillea.sp,Meliwillea,sp,5,BL
5015,Mellitidia.sp,Mellitidia,sp,10,BL
5016,Mermiglossa.sp,Mermiglossa,sp,8.5,BL
5017,Meroglossa.sp,Meroglossa,sp,9.5,BL
5018,Mesocheira.sp,Mesocheira,sp,11.5,BL
5020,Mesonychium.sp,Mesonychium,sp,13,BL
5021,Mesoplia.sp,Mesoplia,sp,15.75,BL
5022,Metadioxys.sp,Metadioxys,sp,10.5,BL
5024,Micralictoides.sp,Micralictoides,sp,5.75,BL
5026,Micrommation.sp,Micrommation,sp,10.4,BL
5027,Micronychapis.sp,Micronychapis,sp,13.5,BL
5028,Microsphecodes.sp,Microsphecodes,sp,4.75,BL
5029,Microthurge.sp,Microthurge,sp,6.5,BL
5030,Mirnapis.sp,Mirnapis,sp,10.5,BL
5031,Monoeca.sp,Monoeca,sp,10,BL
5034,Morawitzella.sp,Morawitzella,sp,3.75,BL
5035,Morawitzia.sp,Morawitzia,sp,12,BL
5037,Mourecolletes.sp,Mourecolletes,sp,10.5,BL
5038,Mydrosoma.sp,Mydrosoma,sp,14.5,BL
5039,Mydrosomella.sp,Mydrosomella,sp,11.5,BL
5042,Nannotrigona.sp,Nannotrigona,sp,4,BL
5043,Nanorhathymus.sp,Nanorhathymus,sp,15.5,BL
5044,Nasutapis.sp,Nasutapis,sp,5,BL
5046,Neanthidium.sp,Neanthidium,sp,11,BL
5047,Neffapis.sp,Neffapis,sp,6,BL
5050,Neocorynura.sp,Neocorynura,sp,8.25,BL
5051,Neofidelia.sp,Neofidelia,sp,10.5,BL
5052,Neolarra.sp,Neolarra,sp,4.5,BL
5053,Neopasiphae.sp,Neopasiphae,sp,8.75,BL
5054,Neopasites.sp,Neopasites,sp,4.75,BL
5055,Nesosphecodes.sp,Nesosphecodes,sp,8,BL
5056,Niltonia.sp,Niltonia,sp,11.25,BL
5057,Nogueirapis.sp,Nogueirapis,sp,4.5,BL
5087,Nomada.sp,Nomada,sp,9.5,BL
5098,Nomia.sp,Nomia,sp,10.5,BL
5100,Notanthidium.sp,Notanthidium,sp,9.5,BL
5101,Noteriades.sp,Noteriades,sp,7.25,BL
5102,Notolonia.sp,Notolonia,sp,15.5,BL
5105,Ochreriades.sp,Ochreriades,sp,8.5,BL
5107,Odyneropsis.sp,Odyneropsis,sp,13,BL
5110,Oligia.sp,Oligia,sp,23.5,WS
5111,Omalus.sp,Omalus,sp,4.7,BL
5112,Omicron.sp,Omicron,sp,7,BL
5113,Ophion.sp,Ophion,sp,14.5,BL
5115,Oreopasites.sp,Oreopasites,sp,4.85,BL
5117,Orphana.sp,Orphana,sp,12,BL
5120,Osirinus.sp,Osirinus,sp,7.75,BL
5121,Osiris.sp,Osiris,sp,12.1,BL
5700,Osmia.sp,Osmia,sp,10.5,BL
5708,Oxybelus.sp,Oxybelus,sp,5.25,BL
5709,Oxytrigona.sp,Oxytrigona,sp,4.75,BL
5710,Pachodynerus.sp,Pachodynerus,sp,12.5,BL
5711,Pachyanthidium.sp,Pachyanthidium,sp,8.5,BL
5712,Pachymelus.sp,Pachymelus,sp,22,BL
5713,Pachyprosopsis.sp,Pachyprosopsis,sp,44.25,BL
